"Term","Category Code","Category Name","Example Tweet Text"
"flood washing a building away","T01","Caution, advice, warnings issued or lifted","#Uttarakhand flood washing a building away at Kedarnath https://t.co/lGIzCmx5pa"
"flood watch","T01","Caution, advice, warnings issued or lifted","RT @CIAwesome: ROAD CLOSURE: Many parts of Elbow Drive are under flood watch and are closed off. Stay away! Use alternate routes #abflood #…"
"flood water about {Number}ft deep","T01","Caution, advice, warnings issued or lifted","RT @ericingalla: Marcos Hiway near Filinvest -still not passable to light vehicles, flood water about 3ft deep.. #floodsPH @MMDA"
"flood water rises","T01","Caution, advice, warnings issued or lifted","Photos: Flood water rises in Australia http://t.co/pKAeJVsh #news"
"flood waters","T01","Caution, advice, warnings issued or lifted","RT @esther_madziya: Wow, shocking to see the flood waters in downtown Calgary. #yycflood http://t.co/OTuJfpevnv"
"flood waters force evacuations","T01","Caution, advice, warnings issued or lifted","RT @9NEWS: Colorado flooding: 3 killed; flood waters force evacuations, destroy roads http://t.co/r1P4BmX70v #COFlood"
"flood waters move","T01","Caution, advice, warnings issued or lifted","RT @MyPetGloat: Manitoba issues flood warning for The Pas. Saskatchewan River to rise as Alberta flood waters move east http://t.co/qfSQGZZ…"
"flood waters recede","T01","Caution, advice, warnings issued or lifted","“@660News: Evacuations WILL NOT be removed until flood waters recede: CEMA Director Bruce Burrell. #yyc #yycflood” .... #dammit"
"flood zone","T01","Caution, advice, warnings issued or lifted","1,000 waiting to evacuate flood zone: It seems no one is beyond the reach of Colorado's epic flooding.       http://t.co/IKXTWtAell"
"flood-affected people","T01","Caution, advice, warnings issued or lifted","@castrolcricket Win the cup for the  flood-affected people of Uttarakhand. Give them something to cheer about. #MessageForTeamIndia"
"flood-prone areas","T01","Caution, advice, warnings issued or lifted","Strict new rules for homeowners in flood-prone areas. Do you agree with the ban? Vote in our poll http://t.co/Ql5LacCCb9 #ableg #abflood"
"flood-triggered oil/gas spills","T01","Caution, advice, warnings issued or lifted","RT @Peace_UP_: Congressmen call for hearing on flood-triggered oil/gas spills http://t.co/82DAygEF4r #UTpol #COflood @ColoradoER @COFrackAt…"
"flooded","T01","Caution, advice, warnings issued or lifted","As the Brisbane River rises, South Bank beach could be flooded for the second time in two years #bigwet #qldfloods http://t.co/n5uegX88"
"flooded areas","T01","Caution, advice, warnings issued or lifted","Great severe thunderstorm warning have just been broadcasted for the flooded areas in SEQ :( They have suffered enough already :( #bigwet"
"flooded badly","T01","Caution, advice, warnings issued or lifted","RT @1DTorontooo: Oh god guys Toronto is flooded badly I'm gonna cry"
"flooded regions","T01","Caution, advice, warnings issued or lifted","no electricity &amp; drinking water in the hills since 5 days now, not only the flooded regions.Landslides destroyed roads to towns #Uttarakhand"
"flooded with rain","T01","Caution, advice, warnings issued or lifted","The news is LITERALLY flooded with rain, rain, and rain that brought by #MaringPH"
"flooding","T01","Caution, advice, warnings issued or lifted","Flooding forces evacuation of downtown Calgary, 75,000 residents: Flooding forced the western Canadian city of... http://t.co/C3kslp1zMQ"
"flooding chaos","T01","Caution, advice, warnings issued or lifted","RT @cnnbreak: Flooding chaos in Philippine's capital: Flood waters were rising in parts of the Philippine capital on Tuesday a... http:/ ..."
"flooding disaster","T01","Caution, advice, warnings issued or lifted","@Bourdain My thoughts to you, your wife &amp; family after the flooding disaster in Sardinia. Your shows always make me care more about an area."
"flooding disaster hits","T01","Caution, advice, warnings issued or lifted","Live: Flooding disaster hits Australia’s east coast http://t.co/q3RB4PI0 | #environment #eco"
"flooding occurring","T01","Caution, advice, warnings issued or lifted","RT @weathernetwork: RT: Residents of #HighRiver AB asked to evacuate immediately. Severe and rapid flooding occurring. #abstorm #abflood"
"flooding potential","T01","Caution, advice, warnings issued or lifted","Rainfall warning ended for Calgary but flooding potential still exists: http://t.co/4KwPzRMZHP #yyc @ctvnews"
"flooding river","T01","Caution, advice, warnings issued or lifted","RT @YahooNews: WATCH: House washed away by flooding river in southern Canada crashes into bridge http://t.co/AxCm5S8N7o"
"flooding triggers","T01","Caution, advice, warnings issued or lifted","RT @FrackNo: Colorado Flooding Triggers More Oil and Gas Spills http://t.co/Kbv1miQRpv @NYGovCuomo NY floods too #DontFrackNY (thanks)"
"flooding warning","T01","Caution, advice, warnings issued or lifted","City of Toronto under a severe Thunderstorm and Flooding warning."
"force {Number}.{Number} tremor hits","T01","Caution, advice, warnings issued or lifted","RT @BreakingNews: Force 4.0 tremor hits northern Italy, week after 6.0 earthquake that killed 7 and made thousands homeless - @Reuters h ..."
"forces {Number}","T01","Caution, advice, warnings issued or lifted","RT @YahooNews: Flooding kills 3, forces 75,000 from Calgary homes: http://t.co/b7ex163ipv http://t.co/53DjAYzjM9"
"forces evacuation","T01","Caution, advice, warnings issued or lifted","Flooding forces evacuation of downtown Calgary, 75,000 residents: Flooding forced the western Canadian city of... http://t.co/C3kslp1zMQ"
"forces town evacuation","T01","Caution, advice, warnings issued or lifted","Why we need Keystone XL RT @RT_com 60 reported missing as runaway #Canada oil train explosion forces town evacuation http://t.co/BcM4schX82"
"forcing rescue work to be suspended","T01","Caution, advice, warnings issued or lifted","Slip risk halts shipwreck rescue: The Costa Concordia wreck moves, forcing rescue work to be suspended again, am... http://t.co/Gdn9u4v9"
"forecast","T01","Caution, advice, warnings issued or lifted","RT @denverpost: FORECAST: More showers for Colorado's Front Range on Monday http://t.co/jCQdMnGJVY via @lynn_bartels #Cowx #coflood"
"forest fires","T01","Caution, advice, warnings issued or lifted","Forest firesðŸ”¥ðŸ”¥ #colorado http://t.co/l24pWwkV"
"freaky","T01","Caution, advice, warnings issued or lifted","Hang in there, Colorado! RT @PatrickSandusky: More shots of fire. So freaky http://t.co/SCOH7wla"
"fresh flooding","T01","Caution, advice, warnings issued or lifted","DTN Italy: Alberta braced for fresh flooding: More communities in the Canadian province of Alberta are on floo... http://t.co/m2s0tmCqIt"
"frightening shooting","T01","Caution, advice, warnings issued or lifted","RT @SandraFluke: Frightening shooting here in #LosAngeles @ #LAX. Victims need our prayers now."
"full containment expected","T01","Caution, advice, warnings issued or lifted","Rain Gives Firefighters Edge On Waldo Canyon Fire In Colorado Springs, Full Containment Expected This Week [PHOT... http://t.co/I9Ijxd85"
"fully contained","T01","Caution, advice, warnings issued or lifted","RT @9NEWS: UPDATE: #LastChanceFire has burned an estimated at 38,400 acres, has been fully contained on the northwest quadrant from fire PIO"
"gas tanks","T01","Caution, advice, warnings issued or lifted","Media Ignores Damaged Oil &amp; Gas Tanks from Colorado Flooding http://t.co/wI5mQ3oIzu"
"getting stronger","T01","Caution, advice, warnings issued or lifted","guys if you read this please #PrayForVisayas it's going to be a long night aftershocks keep on coming, and getting stronger :(("
"good sized storm","T01","Caution, advice, warnings issued or lifted","Good sized storm headed toward #HighParkFire http://t.co/HJDktbcY"
"got hitted by","T01","Caution, advice, warnings issued or lifted","RT @curlyquiffy: Please pray for certain places here in the Philippines bc they are some places who got hitted by a 7.2 earthquake. I hope …"
"gov't now says fire under control","T01","Caution, advice, warnings issued or lifted","RT @CitizenTVNews: Gov't now says fire under control, no casualties reported. #JKIAFire"
"government declared a state of emergency","T01","Caution, advice, warnings issued or lifted","Storm Brings Flooding and Destruction to Sardinia: The Italian government declared a state of emergency on the... http://t.co/RmUW9LNmbB"
"government information","T01","Caution, advice, warnings issued or lifted","RT @govph: Useful government information during natural disasters http://t.co/IproTDmg #PHalerts #rescuePH"
"government releases close-up","T01","Caution, advice, warnings issued or lifted","New post: Pakistan Government Releases Close-Up Photos Of Island That Emerged After Huge Earthquake http://t.co/WJQBnrSlZx"
"governor lifts fire ban","T01","Caution, advice, warnings issued or lifted","Colorado governor lifts fire ban: Much-needed rain and forecasts predicting cooler and wetter weather prompted C... http://t.co/WPknmIcP"
"growing increasingly worried major bushfires","T01","Caution, advice, warnings issued or lifted","RT @australian: Fears grow blazes will form 'mega-fire': NSW fire chiefs are growing increasingly worried major bushfires in t... http://t.…"
"grows out of control","T01","Caution, advice, warnings issued or lifted","New Colorado wildfire erupts, grows out of control - Yahoo! News http://t.co/kOKAVruc"
"gunfire","T01","Caution, advice, warnings issued or lifted","RT @efink: Gunfire on the tarmac. RT @CBSLA #BREAKING: #LAPD: Incident Reported In Terminal 3 At #LAX. http://t.co/cRQ5HzFgJO"
"had {Number} tons w/no safety","T01","Caution, advice, warnings issued or lifted","RT @fullofbalogna: Oklahoma City bombing was done with 2 tons of ammonium nitrate. The West, Tx fertilizer plant had 270 TONS w/NO safety m…"
"had struck","T01","Caution, advice, warnings issued or lifted","A 7.2 EARTHQUAKE had struck Central Visayas, Philippines at 8:12 AM today, Oct. 15, 2013. It was indeed a massive one. More than last year."
"had to evacuat","T01","Caution, advice, warnings issued or lifted","RT @DeLanaHarvick: oh my gosh! prayers 4 all RT @cowboycerrone: This crazy fire at my moms house in Colorado Springs! She had to evacuat ..."
"has been going on","T01","Caution, advice, warnings issued or lifted","@someflowerchild it looks like it from that picture! it's the wildfire that has been going on in Colorado."
"has been hit by a {Number}.{Number} mag earthquake","T01","Caution, advice, warnings issued or lifted","@paulocoelho Bohol, Philippines has been hit by a 7.2 mag earthquake, 90% homeless, no food water &amp; medicine.Pls!!! http://t.co/fSaXm7m6vm"
"has floods/bushfires","T01","Caution, advice, warnings issued or lifted","Australia has floods/bushfires; we've had lots of snow and now flooding. Jesus said 'Love one another'. Plse look out 4 *all* #love"
"has hit","T01","Caution, advice, warnings issued or lifted","A 7.4 magnitude #earthquake has hit the southern #Philippines. There's no threat of a #tsunami."
"has rocked","T01","Caution, advice, warnings issued or lifted","RT @earthskyscience: Powerful 7.2-magnitude earthquake has rocked southern islands in Philippines.  http://t.co/d5hdAFcXQE http://t.co/6pUk…"
"has struck","T01","Caution, advice, warnings issued or lifted","RT @CTVNationalNews: BREAKING NEWS: 8.0 quake has struck off Solomon Islands, generating a tsunami. Warnings, watches in effect for larg ..."
"has triggered","T01","Caution, advice, warnings issued or lifted","RT @georgekourounis: Reports that quake has triggered landslides inland in Costa Rica"
"havoc","T01","Caution, advice, warnings issued or lifted","Flood again plays havoc in Pakistan - Press TV http://t.co/dPwAbN9cle #flood"
"hazardous air","T01","Caution, advice, warnings issued or lifted","Blazing fires, Hazardous air: I live in the Northern Beaches of Sydney, about 1 hour East of the Blue Mountain... http://t.co/QuDnr2hDX9"
"hazardous to be outside","T01","Caution, advice, warnings issued or lifted","Guess more people are shopping online be it for grocery, clothes or electronic appliances now that it's hazardous to be outside. #SGHaze"
"hazards","T01","Caution, advice, warnings issued or lifted","Pakistan need to build dams on emergency min 5 dams a year to fight these flood hazards n for future of Pakistani nation.more imp then Edu."
"haze","T01","Caution, advice, warnings issued or lifted","NewsInSG: Haze approaches 'unhealthy' level in Singapore: Singapore's haze situation worsened on Mo... http://t.co/ukVmx2QJQD #Singapore"
"haze approaches ' danger zone","T01","Caution, advice, warnings issued or lifted","RT @2moonsintheskyy: Bad news: Slashing cases in Singapore. Worse news: Haze approaches 'danger zone'. Worst news: Holidays ending soon."
"haze approaches ' unhealthy ' level","T01","Caution, advice, warnings issued or lifted","NewsInSG: Haze approaches 'unhealthy' level in Singapore: Singapore's haze situation worsened on Mo... http://t.co/ukVmx2QJQD #Singapore"
"haze clearing up right before school starts","T01","Caution, advice, warnings issued or lifted","RT @RandoCore: Being poly students, our luck has resulted in the haze clearing up right before school starts. Singapore fucks us over yet a…"
"haze free","T01","Caution, advice, warnings issued or lifted","RT @MatSegNY: @ChannelNewsAsia  @STcom   #BlueSkies #SGHaze   Looks like Singapore is haze free! Can those masks! http://t.co/R3Ye665l9x"
"haze hits unhealthy level","T01","Caution, advice, warnings issued or lifted","RT @ChannelNewsAsia: Haze hits unhealthy level in Singapore http://t.co/WvkqzUBU8v"
"haze problem","T01","Caution, advice, warnings issued or lifted","RT @HerbertRSim: Looking on the bright side, the haze problem in #Singapore will definitely tackle the cases of dengue in some areas. #Haze…"
"haze situation","T01","Caution, advice, warnings issued or lifted","The reason my flight in Tokyo issue. #smallworld “@SingaporeAir: Update on haze situation in Singapore, please visit http://t.co/ypzEVqcCCo"
"haze suddenly comes","T01","Caution, advice, warnings issued or lifted","RT @xo_falsehopes: A girl with 83 exs, slash cases here and there, haze suddenly comes up.  WTF IS HAPPENING TO SINGAPORE 😪"
"haze worsens","T01","Caution, advice, warnings issued or lifted","Singapore haze worsens, Indonesia plans air tactic - Air pollution in Singapore has soared to record heights for a... http://t.co/tUnoPpO5hx"
"he earthquake","T01","Caution, advice, warnings issued or lifted","Sending prayers and thoughts to whoever was affected with the Earthquake in Bohol and surrounding areas #Philippines"
"headed toward","T01","Caution, advice, warnings issued or lifted","Good sized storm headed toward #HighParkFire http://t.co/HJDktbcY"
"health advisories","T01","Caution, advice, warnings issued or lifted","RT @COEmergency: MT@COHealth:Still 3 Wildfire Smoke Health Advisories for Little Sand, Pine Ridge and Waldo Canyon #COfire . https://t.c ..."
"health advisory","T01","Caution, advice, warnings issued or lifted","RT @ChannelNewsAsia: #SGHaze: PSI now at 155 as of 10pm. Here's the health advisory from @NEAsg http://t.co/tvG4bIYZYO"
"heat","T01","Caution, advice, warnings issued or lifted","Heat hampers efforts to fight Colorado fires: Air Force Academy officials were evacuating roughly one-third of h... http://t.co/ejhkouuu"
"heat haze","T01","Caution, advice, warnings issued or lifted","RT @Blazingmonkeys: Singapore's 5H:  Heat Haze Hail Hello kitty Homeworks"
"heaviest rains","T01","Caution, advice, warnings issued or lifted","RT @Oxfam: #India: heaviest rains in 60 yrs cause devastating floods, kill hundreds, strands 50,000 in Uttarakhand http://t.co/nXXlDojd7z"
"heavy","T01","Caution, advice, warnings issued or lifted","Smoke from #HighParkFire heavy here in my north Denver hood."
"heavy activity","T01","Caution, advice, warnings issued or lifted","USGS: 8.0 earthquake for Santa Cruz Islands in Pacific. There's been heavy activity in that area for days."
"heavy damage","T01","Caution, advice, warnings issued or lifted","2,24,000 acres burnt in Australia in the latest bush fire incident. Heavy damage to prope... http://t.co/r3fM7u1C7f #Australia via @KiranKS"
"heavy demand for fire fighting","T01","Caution, advice, warnings issued or lifted","RT @smh: Sydney Water warns that water pressure may be low in some areas due to extremely heavy demand for fire fighting. http://t.co/pHK…"
"heavy downpour","T01","Caution, advice, warnings issued or lifted","8 dead as floods inundate Metro Manila: Floodwater submerged more than half of Metro Manila as heavy downpour ... http://t.co/qy1ODJC3E9"
"heavy downpour of rain","T01","Caution, advice, warnings issued or lifted","..Heavy downpour of rain again here in San Pedro, Laguna..😞😞😞#SanPedro #Laguna #typhoon #MaringPH #stateofcalamity"
"heavy flood damage","T01","Caution, advice, warnings issued or lifted","Coalminers escape heavy flood damage: QUEENSLAND'S coal industry and LNG export projects are expected to emerge ... http://t.co/NHBhtXtU"
"heavy flooding","T01","Caution, advice, warnings issued or lifted","Hundreds of people are unaccounted for across the US state of Colorado as heavy flooding inundates mountain... http://t.co/41149VW5NI"
"heavy flooding hits","T01","Caution, advice, warnings issued or lifted","Photos: Heavy flooding hits Australia:        http://t.co/DLwOE1PC"
"heavy floods","T01","Caution, advice, warnings issued or lifted","Western Canada hit by heavy flooding: As many as 100,000 people have fled their homes as heavy floods wash awa... http://t.co/xgGjNeGFCQ"
"heavy floods hit","T01","Caution, advice, warnings issued or lifted","Heavy Floods Hit Manila (Video) : WORLDWIDE WEATHER WATCH -  #wibiya -  http://t.co/hfO6Ef0v"
"heavy haze","T01","Caution, advice, warnings issued or lifted","RT @themediaslut: Smog Gets Into My Eyes - Heavy Haze in Singapore.. http://t.co/9IZJiL6F72"
"heavy monsoon","T01","Caution, advice, warnings issued or lifted","A boy sits on a ladder next to his flooded house with the water level of the Yamuna River rising after heavy monsoon… http://t.co/AGKv7s9IhM"
"heavy monsoon rains","T01","Caution, advice, warnings issued or lifted","RT“@gmanews: NDRRMC: Nearly 50% of Metro Manila submerged in floodwater due to heavy monsoon rains. #ReportersNotebook” #rescuePH"
"heavy rain","T01","Caution, advice, warnings issued or lifted","Heavy rain brings floods to Philippines; markets, offices shut: MANILA (Reuters) - Heavy rain in the Philippin... http://t.co/YXN94WjlZF"
"heavy rain & floods","T01","Caution, advice, warnings issued or lifted","RT @faizanlakhani: Heavy rain & floods across #Pakistan have affected 334,764 people, killed at least 108 people. 2,427 houses in 770 villa"
"heavy rain brings floods","T01","Caution, advice, warnings issued or lifted","Heavy rain brings floods to Philippines; markets, offices shut: MANILA (Reuters) - Heavy rain in the Philippin... http://t.co/YXN94WjlZF"
"heavy rain brought flooding","T01","Caution, advice, warnings issued or lifted","@thetrooper_12 Typhoon Bopha returns to Philippines: MANILA  - Heavy rain brought flooding fears in the n... http://t.co/575D0t5r #bnbah"
"heavy rain expected","T01","Caution, advice, warnings issued or lifted","RT @cnnbrk: More than 500 people are still unaccounted for in Colorado flooding; more heavy rain expected Sunday. http://t.co/iuT5V20Wtp"
"heavy rain forecast","T01","Caution, advice, warnings issued or lifted","RT @BloombergTVInd: IMD says monsoon rainfall is 34% above normal since June 1. Heavy rain forecast in #Uttarakhand in next 72 hours."
"heavy rain started","T01","Caution, advice, warnings issued or lifted","RT @aleamse: 11:53 am.Heavy rain started on 11:53 at Siargao Island, Surigao del Norte. Please pray. Signal#3 #PabloPH #typhoonpablo"
"heavy rainfall","T01","Caution, advice, warnings issued or lifted","RT @htTweets: Heavy rainfall in Dehradun: ANI #ht #Uttarakhand"
"heavy rainfall has caused flooding","T01","Caution, advice, warnings issued or lifted","#Pakistan :  Heavy rainfall has caused flooding in Lahore on July 15, 2013 http://t.co/3ANlRUVLTd"
"heavy rains","T01","Caution, advice, warnings issued or lifted","ISLAMABAD: Heavy rains & flooding have killed 111 people & left another 129 injured across Pakistan, according to figures released by NDMA."
"heavy rains & flooding","T01","Caution, advice, warnings issued or lifted","ISLAMABAD: Heavy rains & flooding have killed 111 people & left another 129 injured across Pakistan, according to figures released by NDMA."
"heavy rains and flooding","T01","Caution, advice, warnings issued or lifted","Insurers get nervous: Insurers brace for a new round of claims following heavy rains and flooding in Queensland ... http://t.co/9bUugdZN"
"heavy rains due to sw monsoon","T01","Caution, advice, warnings issued or lifted","RT @dost_pagasa: 11:00 pm Moderate to heavy rains due to SW Monsoon (#Habagat) is affecting of Quezon and most likely to continue for the n…"
"heavy rains flood","T01","Caution, advice, warnings issued or lifted","RT @SunNewsNetwork: UPDATED: Parts of Calgary evacuated after heavy rains flood southern Alberta http://t.co/2isLI0fVwR"
"heavy rainstorm","T01","Caution, advice, warnings issued or lifted","“@guardian: Heavy rainstorm in Toronto, Canada, causes sudden flooding - in pictures http://t.co/bRwsnKE8FT” can it come here?"
"heavy smoke","T01","Caution, advice, warnings issued or lifted","RT @NSWRFS: Likely to be heavy smoke across Sydney and much of the state Dont call 000 just for smoke only for unattended fires   http://t.…"
"heavy thunderstorms","T01","Caution, advice, warnings issued or lifted","Website is down, heavy thunderstorms and major floods everywhere on many roads! Get home safe everyone! #ChowTO #StormTO #Toronto"
"heavy thunderstorms and major floods","T01","Caution, advice, warnings issued or lifted","Website is down, heavy thunderstorms and major floods everywhere on many roads! Get home safe everyone! #ChowTO #StormTO #Toronto"
"heavy-intense rains","T01","Caution, advice, warnings issued or lifted","RT @ANCALERTS: PAGASA 11:30pm advisory: RED warning for Metro Manila. Heavy-intense rains in next 3 hrs. Floods ... http://t.co/j9ubEbKE"
"helicopter tragedy","T01","Caution, advice, warnings issued or lifted","Pope Francis expresses closeness to Glasgow after helicopter tragedy http://t.co/Vc2QhxiR1w"
"help is on the way","T01","Caution, advice, warnings issued or lifted","RT @TheMallofAsia: @TheMallofAsia Public Service Announcement &gt; Pls RT for faster response! Help is on the way!  #RescuePH #ReliefPH  ..."
"help us by planning ahead","T01","Caution, advice, warnings issued or lifted","RT @AlexChesser: Three big days ahead for firefighters. Help us by planning ahead &amp; knowing what you will do if threatend by #nswfires http…"
"high #flood","T01","Caution, advice, warnings issued or lifted","ISLAMABAD: High #flood in Indus river at Guddu barrage @NEWSFolders #Pakistan"
"high fire alert","T01","Caution, advice, warnings issued or lifted","RT @smh: High fire alert tomorrow, hitting temps of 34 in #Sydney with strong winds, creating severe fire danger. http://t.co/IGy5q7ybHE"
"high flood","T01","Caution, advice, warnings issued or lifted","Indus in high flood at Guddu barrage but water level falling http://t.co/Ajw1vIpNOL #Pakistan #KPK #Punjab #Balochistan #PMLN #PTI"
"high flood peak","T01","Caution, advice, warnings issued or lifted","""@RadioPakistan: PDMA #Sindh says a high flood peak would pass through #KotriBarrage in next twelve hours. http://t.co/ZZbVD1eck1"
"high park fire","T01","Caution, advice, warnings issued or lifted","High Park Fire 100% contained; Waldo Canyon Fire near Colorado Springs 45% contained [12/07/01 17:43:12 UTC]"
"high tide","T01","Caution, advice, warnings issued or lifted","RT @612brisbane: Brisbane River near Eagle Street...20 mins until high tide.  #bigwet http://t.co/8qyZ5rKM"
"high water","T01","Caution, advice, warnings issued or lifted","Dayum! #Toronto right now ! “@sabrina_scott: High water on the Esplanade. #stormTO http://t.co/nTgX9VYbjy”"
"high winds","T01","Caution, advice, warnings issued or lifted","High Winds Hamper Efforts to Fight Historic Colorado Wildfire http://t.co/uK4y4PIl"
"higher ground","T01","Caution, advice, warnings issued or lifted","RT @nicolerrabbit: @sandraklis: The river now! Getting dark and headin for higher ground now, everyone stay safe! #yyc #yycflood http://t.…"
"highparkfire","T01","Caution, advice, warnings issued or lifted","More residents evacuated near High Park Fire http://t.co/24kwwV2S #cofire #HighParkFire"
"highway hypnosis","T01","Caution, advice, warnings issued or lifted","RT @ChrisReuters: Source: Metro North driver fell into highway hypnosis before crash. http://t.co/lmbiHaUQw4"
"historic colorado wildfire","T01","Caution, advice, warnings issued or lifted","High Winds Hamper Efforts to Fight Historic Colorado Wildfire: Wind gusts of 30 miles per hour are fueling the m... http://t.co/5fEg1pCc"
"historic flooding","T01","Caution, advice, warnings issued or lifted","RT @USATODAY: More than 500 people remain unaccounted for across Colorado after deadly, historic flooding: http://t.co/gyfFdgBbD9"
"hit","T01","Caution, advice, warnings issued or lifted","Death toll from a strong earthquake in the Philippines has risen to 85 - 7.2 magnitude quake hit the tourist island of Bohoi."
"hit by {Number}.{Number} earthquake","T01","Caution, advice, warnings issued or lifted","RT @CNBCPAKISTAN: More: #Balochistan govt declares emergency in Awaran, worst hit by 7.8 earthquake #Pakistan"
"hit by {Number}.{Number} magnitude earthquake","T01","Caution, advice, warnings issued or lifted",":(( RT @euronews: Pakistan hit by 7.7 magnitude earthquake http://t.co/A0dxdsHxkK"
"hit by a {Number}.{Number} magnitude quake","T01","Caution, advice, warnings issued or lifted","Pakistan was hit by a 7.8 magnitude quake. Hope my friends are OK."
"hit by fires","T01","Caution, advice, warnings issued or lifted","Anti-Tax movement region of Colorado hit by fires, begs for federal help.  http://t.co/alGzcOr2"
"hit by flash flooding","T01","Caution, advice, warnings issued or lifted","RT @AJEWeather: #Queensland hit by flash flooding. Brisbane is next in line: http://t.co/dE6XG4vh"
"hit by floods","T01","Caution, advice, warnings issued or lifted","RT @MirzaSania: Thoughts and prayers going out to the people in Northern India hit by floods..Over 500 ppl dead and thousands still missing…"
"hit by magnitude {Number}.{Number} earthquake","T01","Caution, advice, warnings issued or lifted","RT @todayshow: RT @BreakingNews USGS: Italy hit by magnitude 6.0 earthquake, 32 miles north-east of Parma - @Reuters"
"hit by massive {Number}.{Number} -magnitude earthquake","T01","Caution, advice, warnings issued or lifted","Even god hates that Pakistan@MailOnline: BREAKING: Southwest Pakistan hit by massive 7.4-magnitude earthquake"
"hit by meteor shower","T01","Caution, advice, warnings issued or lifted","Central Russia hit by meteor shower: A meteor shower in central Russia causes injuries and shatters windows as b... http://t.co/2jWetktv"
"hit by second major earthquake","T01","Caution, advice, warnings issued or lifted","RT @guardiannews: Pakistan hit by second major earthquake in a week http://t.co/qbinDf50yN"
"hit by the killer earthquake","T01","Caution, advice, warnings issued or lifted","If only I was able to go to BCD, I could've asked for @S17Stephan's jersey. But sadly, we were hit by the killer earthquake. :( #Cebu"
"hitting","T01","Caution, advice, warnings issued or lifted","RT @donmoen: Join me in praying for my friends in Philippines today in the wake of a major earthquake hitting Bohol. May God comfort and st…"
"hitting temps of {Number}","T01","Caution, advice, warnings issued or lifted","RT @smh: High fire alert tomorrow, hitting temps of 34 in #Sydney with strong winds, creating severe fire danger. http://t.co/IGy5q7ybHE"
"homeowners","T01","Caution, advice, warnings issued or lifted","Strict new rules for homeowners in flood-prone areas. Do you agree with the ban? Vote in our poll http://t.co/Ql5LacCCb9 #ableg #abflood"
"homes burned","T01","Caution, advice, warnings issued or lifted","Summer is just starting. there has been over 100000 acres of land &amp; homes burned up in Colorado from wildfires my gut tells me long summer"
"homes destroyed after flash floods","T01","Caution, advice, warnings issued or lifted","One person killed and homes destroyed after flash floods wreak havoc in Colorado http://t.co/mLSFP2d6GM"
"horrible #storm approaches","T01","Caution, advice, warnings issued or lifted","RT @bmarcois: Please #pray for the #Philippines as this horrible #storm approaches. Among worst in history. #Prayer http://t.co/fcdhs4cYEH"
"horrible collapse","T01","Caution, advice, warnings issued or lifted","RT @Savan_Kotecha: Prayers for the families effected in the horrible collapse of the building in Bangladesh."
"horrible disaster","T01","Caution, advice, warnings issued or lifted","Just heard that over 200 people have lost there lives in a nightclub fire in Brazil! such a horrible disaster R.I.P ♥"
"horrible earthquake","T01","Caution, advice, warnings issued or lifted","My heart goes out to all the people who had to experience the horrible earthquake in Bohol. Let's pray for them. God Bless! #PrayForVisayas"
"horrible fire","T01","Caution, advice, warnings issued or lifted","RT @David_Boreanaz: Lots of prayers to all the people in Colorado who r battling this horrible fire and have lost homes."
"horrible fires","T01","Caution, advice, warnings issued or lifted","Prayers going out to those on Colorado Springs and all those people losing Thierry homes and those fighting those horrible fires!"
"horrible flash floods","T01","Caution, advice, warnings issued or lifted","Parents had got constructed a Dharamshala at #Kedarnath three years ago. Wonder if it is still intact after these horrible flash floods!"
"horrible typhoon","T01","Caution, advice, warnings issued or lifted","RT @_viva_la_sam: so the Philippines have 10,000 dead from a horrible typhoon and pray for Justin Bieber is trending because he got food …"
"horrific building collapse","T01","Caution, advice, warnings issued or lifted","RT @nycjim: Horrific building collapse in Bangladesh. Housed garment factories. ~100 dead. http://t.co/njkU9lA4qJ  http://t.co/7mxr7i40Q4"
"horrific fire","T01","Caution, advice, warnings issued or lifted","Thouhhts and prayers to the families of the ones lost in that horrific fire at a nightclub in Brazil."
"horrific floods","T01","Caution, advice, warnings issued or lifted","Sending prayers to friends and clients who are dealing with the horrific floods and windy conditions. Take care. Vine #Queensland #NSW"
"horrific nightclub fire","T01","Caution, advice, warnings issued or lifted","RT @PerezHilton: So sad! Horrific Nightclub Fire In Brazil Takes The Lives Of 245 People. http://t.co/dNe1XxqL"
"horrific photos","T01","Caution, advice, warnings issued or lifted","RT @GGPolitics: Horrific photos from the explosion in Texas reveal the mass destruction of the blast --&gt; http://t.co/DU0Lw1eoUE #Pray ..."
"horrific shooting","T01","Caution, advice, warnings issued or lifted","Horrific LAX shooting scene: Actor, Tim Daly, describes to Brooke Baldwin the horrific shooting scene witnessed at the LAX airport."
"horrific wildfires","T01","Caution, advice, warnings issued or lifted","Our thoughts &amp; prayers are with our friends at the PRCA &amp; all Colorado/Utah residents battling the horrific wildfires. http://t.co/6HlAQCB8"
"hospital","T01","Caution, advice, warnings issued or lifted","UST Hospital and UERM in need of immediate help. UST's morgue is flooded, UERM's nursery is near being flooded. Please please #rescuePH"
"how bad the wild fire is","T01","Caution, advice, warnings issued or lifted","RT @StyleEngine: Colorado Springs is burning, this gives you an idea of how bad the wild fire is... http://t.co/fx9kjaO5"
"huge blast","T01","Caution, advice, warnings issued or lifted","RT @BBCBreaking: Official confirms deaths after huge blast at fertiliser plant in Texas town of #West - number unclear http://t.co/F9SRt ..."
